0,1
Name,Expenses of Hospitalization for a minimum period of 24 consecutive hours only shall be admissible
Name,Time limit of 24 hrs shall not apply when the treatment is undergone in a Day Care
Pre-Hospitalisation,For 30 days prior to the date of hospitalization
Post Hospitalisation,For 60 days from the date of discharge from the hospital
Sublimit for room/doctors fee,"1. Room Rent, Boarding, Nursing Expenses all inclusive as provided by the Hospital/ Nursing Home up to 2% of the sum insured subject to maximum of Rs.5000/- per day. 2.Intensive Care Unit (ICU) charges/ Intensive Cardiac Care Unit (ICCU) charges all-inclusive as provided by the Hospital/ Nursing Home up to 5% of the sum insured subject to maximum of Rs. 10,000/-, per day"
Cataract Treatment,"Up to 25% of Sum insured or Rs.40,000/-, whichever is lower, per eye, under one policy year."
AYUSH,"Expenses incurred for Inpatient Care treatment under Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homeopathy systems of medicines shall be covered upto sum insured, during each Policy year as specified in the policy schedule."
Disease Pre Existing,Only PEDs declared in the Proposal Form and accepted for coverage by the company shall be covered after a waiting period of 4 years
Cumulative bonus,Increase in the sum insured by 5% in respect of each claim free year subject to a maximum of 50% of SI. In the event of claim the cumulative bonus shall be reduced at the same rate.
Co Pay,5% co pay on all claims
